SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
1751637,,F 971,,,,,"Letter to Bishop Lartique - Glengarry (December 1, 1828)",1828,Item consists of correspondence regarding the services of priests on the Ottawa [River?].,,1 item of textual records,1 reel of microfilm (textual records),,"To view, retrieve self-service microfilm reel MS 709, reels 1 and 2",,,,Y,," :""B272881"":""N"":",,
2184778,,RG 45-39,,,,,"Currie, Cooper and Lybrand - B. Yang - Official Plan Review Guidelines",1979,,,1 file of textual records,Textual records,,1982-01271/28,,,,Y,2079," :""B176705"":""Y"":",,
2087061,,RG 74-9,,61-VOL GENR / BIOSGN,,,Biographies - Good Neighbours (GN) [Program] Trust,1993,,,1 file of textual records,textual records,,,,,,Y,2012," :""B810388"":""Y"":",,
1774003,,F 4655-1,F 4655-1-0-2836,75-3956,,,DGS Grinding Ltd. - Production Show,16-May-75,,,"2 photographs : 2 colour negatives, ",Graphic materials,,205,,,,Y,," :""B862763"":""Y"":",,
2072413,,RG 68-12,,,,Ontario Northland Transportation Commission - administration,President's reports,1996-1997,,,1 file of textual records,textual records,,,,,,Y,2017," :""B820289"":""Y"":",,
1679141,,F 2162,,Court File No. M23413,,,"Provincial Superior Anne Russell, Sister Dolores DeMulling, Sister Marilyn LaRocque Sister Theresa Shannon, Sister RoseMarie Kugel, Sister Joan Kalchbrenner, Sister Evelyn Leonard and Religious Hospitallers of Saint Joseph of the Hotel Dieu of Kingston (applicants) and Health Services Restructuring Commission and the Minister of Health (respondents)",1998,File consists of the reply Factum of the Applicants (Appellants) (Motion for leave to Appeal).,,1 file of textual records,Textual records,,75,,,,Y,," :""B322626"":""Y"":",,
2030755,,RG 4-2,,,,Attorney General,FSP- Policy Development [Family Support Plan],1996,,,1 file of textual records,textual records,,,,,,Y,2096," :""B821684"":""Y"":",,
1839572,,RG 16-351,,CO 06 03,,Government of Ontario / Management Board,Management Board Secretariat,1998,,,1 file of textual records,textual records,,,,,,Y,2098," :""B805189"":""Y"":",,
2002512,,RG 2-53,,,,Financial Statements and Schedules,Hastings County Board of Education,1988,,,1 file of textual records,textual records,,,,,,Y,2008," :""B819342"":""Y"":",,
1792592,,F 4655-1,F 4655-1-0-21425,96-B-2557,,,True Temper Hardware - Canadian Hardware Show,"Feb. 4, 1996",,,"2 photographs : 1 colour negative, 1 colour print, ",Graphic materials,,171,,,,Y,," :""B863194"":""Y"":",,
1910964,,RG 22-523,,589/79,,Criminal,Richelieu Dredging Corporation Incorporated,1979-1981,,,1 file of textual records,textual records,,,,,,Y,2081," :""B834303"":""Y"":",,
1781928,,F 4655-1,F 4655-1-0-10761,84-1891,,,Fiberez CMP - Canadian Environmental Exposition (CEX) Show,"Mar. 26, 1984",,,"1 photographs : 1 colour negative, ",Graphic materials,,55,,,,Y,," :""B862883"":""Y"":",,
1789339,,F 4655-1,F 4655-1-0-18172,91-9303,,,Rentex Displays - Toy Show Exhibits,"Jan. 28, 1991",,,"6 photographs : 6 colour negatives, ",,,119,,,,Y,," :""B862839"":""Y"":",,
2105226,,F 1140-7-4,"Houstoun, D. Mackay",,,,Landscape,1959,Item consists of photograph of artwork taken by Nelson C. Hitchinson,,1 photograph : black and white negative,Graphic materials,,,,,,y,," :""B804715"":""Y"":""Original envelopes can be found in:"":""B804711"":""Y"":",,
1788970,,F 4655-1,F 4655-1-0-17803,90-8933,,,"Smyth, Fisher Limited, Cantel - Molson ""Indy""","Jul. 20, 1990",,,"3 photographs : 3 colour negatives, ",,,111,,,,Y,," :""B862836"":""Y"":",,
2088475,,RG 75-27,,NAT 03 02 03 08 90,,,Musselwhite Negotiations Ontario / Windigo / Shibogama,1990,,,1 file of textual records,textual records,,,,,,Y,2010," :""B810000"":""Y"":",,
1771797,,F 4655-1,F 4655-1-0-630,71-1747,,,"Social and Family Services - ""What Will You Do In '72?""","Aug. 13, 1971",,,"6 photographs : 6 black and white negatives, ",Graphic materials,,129,,,,Y,," :""B862768"":""Y"":",,
1890331,,RG 2-241,,,,Special Education Operational Files,Secondary School Education 1986,1986,,,1 file of textual records,textual records,,,,,,Y,2086," :""B851515"":""Y"":",,
1750875,,F 138-9,F 138-9-0-518,,,,Trade mark (Maclean-Hunter Publishing Co. Ltd.) ,1941-1945,,,1 file of textual records,Textual records,,1980-1195/43,,,,Y,," :""B213981"":""Y"":",,
1835907,,RG 14-97,,4021-4,,,Road information & services project,1993,,,1 file of textual records,textual records,,,,,,Y,2013," :""B820007"":""Y"":",,
1819024,,RG 10-408,,,,,Women's Health Bureau,1989-1990,,,1 file of textual records,textual records,,,,,,Y,2010," :""B817115"":""Y"":",,
1788733,,F 4655-1,F 4655-1-0-17566,90-8696,,,Giltspur / Toronto 3M - IAPA,"Apr. 10, 1990",,,"13 photographs : 13 colour negatives, ",,,105,,,,Y,," :""B862834"":""Y"":",,
1823839,,RG 10-6,,,,,171-1 Deputy Minister's Office General Backup 9,1997-1998,,,1 file of textual records,textual records,,,,,,Y,2098," :""B816121"":""Y"":",,
2043063,,RG 43-57,,OHS4 43326-1-33,,Devolution of public housing,Devolution human resources issues,1999,,,1 file of textual records,textual records,,,,,,Y,2019," :""B818924"":""Y"":",,
1773914,,F 4655-1,F 4655-1-0-2747,75-3867,,,Speedrack Ltd. - Production Show,12-May-75,,,"1 photographs : 1 colour negative, ",Graphic materials,,204,,,,Y,," :""B862762"":""Y"":",,
1748046,,F 138-24-6,F 138-24-6-242,,,,Quaker Oats Co. Canada Ltd./Fisher-Price Canada,1986-1988,,,1 file of textual records,Textual records,,24,,,,Y,2018," :""B376365"":""Y"":",,
1828271,,RG 12-54,,AD08 GEE00677 0417,,,General,1988,,,1 file of textual records,textual records,,,,,,Y,2008," :""B814775"":""Y"":",,
1954789,,RG 22-5829,,D3120,,,[no file] - Attorney General; Family Court [3 of 4],1978,,,1 file of textual records,Textual records,,1984-00324/101,,,,Y,2079," :""B161428"":""Y"":",,
2069022,,RG 64-25,,,,,Victims consultation publicity,1984,,,1 file of textual records (includes 7 photographs : black and white prints),Textual records Graphic materials,,1985-01357/V1,,,,Y,2084," :""B144678"":""Y"":",,
1798358,,RG 10-140,,,,,Ministry of Natural Resources - Sault Ste. Marie ( Correspondence ),1993-1996,,,1 file of textual records,textual records,,,,,,Y,2096," :""B817194"":""Y"":",,
2196275,,RG 4-154,,CR045006,,,Defensive Driving General,28-Jan-03,,,46.61 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Certificate ; 1,,Y,," :"" "":"" "":",,
1715861,,RG 45-21,,,,,Ian Rowe [expenses],1978,,,1 file of textual    records,,,EDV-00006/G-180,,,,Y,," :""B399370"":""Y"":",,
2198921,,RG 4-154,,CR050195,,,Vocational Services Department - Incident Report,26-Jan-84,,,48.17 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 2,,Y,," :"" "":"" "":",,
2070240,,RG 64-3,,,,,Alcohol Use in Ontario,1974-1976,,,1 file of textual records,Textual records,,1983-00946/10,,,,Y,2077," :""B219290"":""Y"":",,
1769789,,RG 45-47,,93 1000 PC,,General,Energy Liaison and Planning,1993,,,1 file of textual records,Textual Records,,1995-00812/7F,,,,Y,2093," :""B311578"":""Y"":",,
2045558,,RG 43-7,,,,,AMR03-42954 i,2003,,,1 file of textual records,textual records,,,,,,Y,2023," :""B818800"":""Y"":",,
1820568,,RG 10-432,,,,,Medical Advisory Committee Vol 1,1973-1975,,,,textual records,,,,,,Y,2075," :""B816865"":""Y"":",,
1746795,,F 138-20,F 138-20-0-1116,,,"Group ""F,"" John H. Martin, publisher",Confidential revenue sheets,1964,,,1 file of textual records,Textual records,,1980-01195/164,,,,Y,," :""B401644"":""Y"":",,
2049038,,RG 4-37,,301/94,,,Meat Inspection Act (Ontario),1994,,,1 file of textual records,textual records,,,,,,Y,2094," :""B808986"":""Y"":",,
1716398,,RG 2-215,,,,,Universities - Grant regulation (4 of 4),1971-1979,,,1 file of textual records,,,1984-01083/8,,,,Y,," :""B188630"":""Y"":",,
2104305,,,,H/F/78/280,,,"Tuittman, L., part W 1/2 Lot 23, Concession 3, Town of Halton Hills, Halton",1978,,,1 file of textual records,,,1993-01572/78-6,,,,Y,," :""B446145"":""Y"":",,
1775064,,F 4655-1,F 4655-1-0-3897,77-5017,,,Bendex International - Hardware Show,"Feb. 13, 1977",,,"2 photographs : 2 black and white negatives, ",Graphic materials,,196,,,,Y,," :""B863211"":""Y"":",,
1826489,,RG 12-151,,,,,[Dufferin County Waste Mangement Master Plan corresopndence and Steering Committee minutes],1989,,,1 file of textual records,textual records,,,,,,Y,2039," :""B814949"":""Y"":",,
1814212,,RG 10-376,,,,,170-1 Minister's Office General Backup 155,1998,,,1 file of textual records,textual records,,,,,,Y,2098," :""B816097"":""Y"":",,
1667854,,F 846,,,,St. Catherines,General ,1972,,,1 file of textual records,Textual records,,MU8516,,,,Y,," :""B252915"":""Y"":",,
1840518,,RG 16-9,,CO 06 04,,Government of Ontario / Other ministries,Finance,1998,,,1 file of textual records,textual records,,,,,,Y,2098," :""B805208"":""Y"":",,
