SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
1026405,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1972,Flight Line : 4129 ; Roll : 1-72-0034 ; Photo(s) : 12-13,,2 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026406,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1972,Flight Line : 4130 ; Roll : 1-72-0034 ; Photo(s) : 8-11,,4 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026407,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1972,Flight Line : 4131 ; Roll : 1-72-0034 ; Photo(s) : 14-19,,6 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026408,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1972,Flight Line : 4132 ; Roll : 1-72-0034 ; Photo(s) : 1-7,,8 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026409,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1972,Flight Line : 4133 ; Roll : 1-72-0034 ; Photo(s) : 20-25,,6 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026410,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1972,Flight Line : 4134 ; Roll : 1-72-0034 ; Photo(s) : 26-32,,7 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026411,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1972,Flight Line : 4135 ; Roll : 1-72-0017 ; Photo(s) : 182-186,,5 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026412,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4148 ; Roll : 78-0253 ; Photo(s) : 143-145,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026413,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4150 ; Roll : 78-0253 ; Photo(s) : 140-142,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026414,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4151 ; Roll : 78-0253 ; Photo(s) : 134-139,,6 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026415,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4152 ; Roll : 78-0253 ; Photo(s) : 126-133,,8 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026416,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4153 ; Roll : 78-0253 ; Photo(s) : 117-125,,9 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026417,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4154 ; Roll : 78-0253 ; Photo(s) : 109-116,,8 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026418,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4155 ; Roll : 78-0253 ; Photo(s) : 101-108,,8 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026419,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4156 ; Roll : 78-0253 ; Photo(s) : 93-100,,8 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026420,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4157 ; Roll : 78-0253 ; Photo(s) : 85-92,,8 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026421,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,Flight Line : 4158 ; Roll : 78-0253 ; Photo(s) : 82-84,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618.",,Y,," :""B863215"":""Y"":",,
1026422,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,"Flight Line : 4154, 4155 ; Roll : 78-0253 ; Photo(s) : 146-152",,7 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618. ; General note : 4155 are photographs 146-148; 4154 are photographs 149-152",,Y,," :""B863215"":""Y"":",,
1026423,,RG 1-429-7,,,"1:15,840",,"416823, 417823",1978,"Flight Line : 4156, 4517 ; Roll : 78-0253 ; Photo(s) : 153-159",,7 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618. ; General note : 4157 are photographs 153-156; 4516 are photographs 157-159",,Y,," :""B863215"":""Y"":",,
