SISN,REFA,HEADING,DATEEX_BEGINNING,DATEEX_END,FUN,ADM,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,SOURCE,SUC_1,SUC_2,SUC_3,SUC_4,DATECONT_1_BEGINNING,DATECONT_1_END,CONTAG_1,DATECONT_2_BEGINNING,DATECONT_2_END,CONTAG_2,DATECONT_3_BEGINNING,DATECONT_3_END,CONTAG_3,DATECONT_4_BEGINNING,DATECONT_4_END,CONTAG_4,DATECONT_5_BEGINNING,DATECONT_5_END,CONTAG_5,DATECONT_6_BEGINNING,DATECONT_6_END,CONTAG_6,DATECONT_7_BEGINNING,DATECONT_7_END,CONTAG_7,DATECONT_8_BEGINNING,DATECONT_8_END,CONTAG_8,DATECONT_9_BEGINNING,DATECONT_9_END,CONTAG_9,DATECONT_10_BEGINNING,DATECONT_10_END,CONTAG_10,DATECONT_11_BEGINNING,DATECONT_11_END,CONTAG_11,DATECONT_12_BEGINNING,DATECONT_12_END,CONTAG_12,DATECONT_13_BEGINNING,DATECONT_13_END,CONTAG_13,DATECONT_14_BEGINNING,DATECONT_14_END,CONTAG_14,AUTHTP_1,AUTHTP_2,NAME,AA,PAR_1,PAR_2,PAR_3,PAR_4,SEEALSO,PRED_1,PRED_2,PRED_3,PRED_4,PRED_5,RULES,STATUSA,WEBA,CMTAU,MOD_DATE
2160,,"Whitney Lake (Smellie Township, Kenora District, Ont.)",,,,,,,,,,,,,,,,"Gazetteer of Canada: Ontario, Ontario, 1988, p. 418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.10B,Approved,Y
6444,,"West, William A. N., fl. 1872",,,,,,,,,,,,,,,,"Archives of Ontario, fonds 1243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal Name,,,,,,,,,,,,,,Rules for Archival Description,Approved,Y
1361,,Law (Ont. : Township),,,,Located in Nipissing District.,,,,,,,,,,,,"Carter, Place Names of Ontario, v. 1, p. 650; Gazetteer of Canada: Ontario, 1988, 4th ed., p. 205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.4,,Y
5269,CA436,War Memorial Committee of Ontario,,,The War Memorial Committee of Ontario was established following  a resolution of the Legislative Assembly calling for a suitable mark of appreciation for those who had been killed during the First World War.,"Select Committees are ad-hoc committees of the Legislative Assembly of Ontario with specific terms of reference to investigate and report on a specific issue. This committee was initially established on April 22, 1920 with Henry Sloane Cooper as Chair, and was re-appointed on April 28, 1921 and March 30, 1922. They issued their final report on February 15, 1923. The committee recommended the construction of a cenotaph on University Avenue in Toronto, but recommended that it be postponed until the creation of a new archives building at the same time.",Ontario. Committee on a Memorial of the Recent War.,Ontario. War Memorial Committee.,Ontario. Legislative Assembly. War Memorial Committee of Ontario,,,,,,,,,"Sage, Richard; Weir, Aileen. Select Committees of the Assemblies of the Provinces of Upper Canada, Canada and Ontario, 1792-1991: A Checklist of Reports. Toronto: Ontario Legislative Library, 1992.",,,,,1920,1923,Ontario. Legislative Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C Ontario Government Name,,War Memorial Committee of Ontario,,,,,,,,,,,,,Approved,Y
6468,,"McMullen, W. T., fl. 1891-1928",,,,"McMullen was also Commanding Officer of the 22nd Regiment, Woodstock. At one point, McMullen was in partnership with Alexander Finkle.",,,,,,,,,,,,"Archives of Ontario, fonds 1313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal Name,,,,,,,,,,,,,,Rules for Archival Description,Approved,Y
7180,,Ontario Association of Registered Nursing Assistants,,,,"Initially known as the Association of Certified Nursing Assistants, the organisation became the Ontario Association of Registered Nursing Assistants in 1962.",,,,,,,,,,,,"Archives of Ontario, fonds 879. Canadiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate Name,,,,,,,,,,,,,,Rules for Archival Description,Approved,Y
1895,,Fallingsnow Lake (Ont.),,,,"Located in Devon Township, Thunder Bay District",,,,,,,,,,,,"Gazetteer of Canada: Ontario, 1974, p. 235; 1988, p. 121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.10B,Approved,Y
1902,,Longbow Lake (Ont.),,,,"Located in Kirkup Township, Kenora District",,,,,,,,,,,,"Gazetteer of Canada: Ontario, 1974, p. 424; 1988, p. 221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,NAM 4.10B,Approved,Y
1152,,Halton Hills (Ont.),,,,Town located in the Regional Municipality of Halton. In January 1974 it was formed through the amalgamation of the Towns of Acton and Georgetown and parts of the Township of Esquesing and the Town of Oakville.,,,,,,,,,,,,"Mika, Place Names of Ontario, vol. 1, p. 501; Gazetteer of Canada: Ontario, 4th ed., 1988, p. 158.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geographic Name,,,,,,,,,,,,,,RAD 23.4C2,,Y
3883,BA483,Inquiry into Motor Vehicle Accident Compensation in Ontario,,,"The Inquiry into Motor Vehicle Accident Compensation in Ontario conducted research into the provision of insurance for motor vehicle accidents, particularly the provision of ""no-fault"" insurance. The Inquiry also examined the benefits of a publicly owned insurance system.","The Inquiry into Motor Vehicle Accident Compensation in Ontario was appointed on November 6, 1986. The Inquiry was headed by a Commissioner, the Hon. Mr. Justice Coulter A.A. Osborne, who was assisted by an Advisory Committee of ten members. The Committee was composed of experts in the field of automobile accident compensation, including representatives from insurance bureaus and companies, consumer's assocations, the handicapped and other groups. The Inquiry conducted in-depth research into all facets of automobile insurance in Ontario, including standard automobile insurance contracts, the history of insurance, litigated claims, and a wide variety of methods of providing adequate insurance to drivers in Ontario and elsewhere. The Inquiry concluded that no-fault benefits should be substantially expanded and made truly ""no-fault"" in their character, and that the right to individual compensation in the tort system should be maintained. In other words, the need to sue to receive compensation was reduced although the right to sue was preserved. The Inquiry did not recommend public ownership of the insurance industry in Ontario, but rather closer regulation of the industry. The inquiry made a great number of detailed recommendations about regulation of the automobile insurance industry, insurance coverage and premiums, systems of compensation, other insurance issues, public or private provision of insurance, rate regulation, and accident prevention. The inquiry was dissolved in 1988.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12- 24. Archives of Ontario, Series RG18-544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B Ontario Government Name,,Inquiry into Motor Vehicle Accident Compensation in Ontario,,,,,,,,,,,,Rules for Archival Description,Approved,Y
